source,url,title,body,user
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Best Experience Than Zomato Clean App all In One Place,Hey there! Such positive reviews motivate us to strive hard to provide you a much better experience. Happy ordering. 🙂,Euri Boyka
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,delivered on time and hot,Hey there! It's a bliss to see that our service brought a smile to your face. We'll endeavor to keep it up. Keep Swiggying. 🙂,Kirubavathy Perumal
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Super,"Hey there, nothing delights us more than hearing this. We are happy that you had a great experience. Keep Swiggying. 🙂",Vignesh Vikka
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Ok,"Hey there, we are thankful to you for your review! We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",Soumyabrata Samanta
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Badhiya hai,"Hey there, we are thankful to you for your review! We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",Dileep Kumar
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Good,Hey there! It's a bliss to see that our service brought a smile to your face. We'll endeavor to keep it up. Keep Swiggying. 🙂,Naresh rock
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Good,"Hey, thanks for the rating! This motivates us to keep serving you better with every order.",Sankeerthana Kommu
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Delivery is good,"Hey there, glad that we have stood up to your expectations. Thank you for the positive review and the perfect star rating. Keep Swiggying. 🙂",Wall Putty Paint
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Good,"Hey, thanks for the rating! This motivates us to keep serving you better with every order.",Mabindra Sunar
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Great Taste and quality,"Hey, we are glad to have patrons like you and will strive towards providing better services to keep such reviews coming our way. Keep ordering.",Rashmeet Narang (Somu)
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Bestest,"Hey there, nothing delights us more than hearing this. We are happy that you had a great experience. Keep Swiggying. 🙂",RAHUL RAJ
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Good,Hey there! Such positive reviews motivate us to strive hard to provide you a much better experience. Happy ordering. 🙂,Sambhu Bhandari
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,super support 🖐️,Hey there! It's a bliss to see that our service brought a smile to your face. We'll endeavor to keep it up. Keep Swiggying. 🙂,Rajkumar Raja
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,"One of the best known apps I have ever came across.So many offers every time I order. It's like ordering from my own home. And every time swiggy delivering foods,they deliver very professionally and carefully.Many new apps are coming now a days, for promotion they deliver good food few times,then they deliver last night meals. But swiggy, has been the best.May be swiggy should do more promotion all across India, and promote of their excellent intention of delivering healthy foods everytime.","Hey, thank you for the ratings. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",Sinchan Biswas
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Nice,"Hi there, thank you for your patronage and the perfect rating. We will strive to provide consistent seamless ordering experiences. Keep Swiggying!",Kishan Gopal
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Good 😊,"Hi there, thank you for your patronage and the perfect rating. We will strive to provide consistent seamless ordering experiences. Keep Swiggying!",Mahesh Bhai
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Good service 👍🏻,Hey there! Such positive reviews motivate us to strive hard to provide you a much better experience. Happy ordering. 🙂,TOXIC gaming
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Roll of this particular Kathi junction is crunchy and delicious,"Hey there, thank you for the perfect ratings. We appreciate your efforts in contributing to our improvements.",PRIYA RANJAN
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Its good,"Hey, thanks for the rating! This motivates us to keep serving you better with every order.",Pranav Panchal
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Very user friendly,"Hey there, we're pleased that you enjoyed your experience with Swiggy. We'll endeavor to keep it up. Keep ordering. 🙂",martin jose
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Best delivery app,"Hey, we are glad to have patrons like you and will strive towards providing better services to keep such reviews coming our way. Keep ordering.",Nishit Legend
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Best service,Hey there! Such positive reviews motivate us to strive hard to provide you a much better experience. Happy ordering. 🙂,Aman Singh
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,best app,"Hey there, nothing delights us more than hearing this. We are happy that you had a great experience. Keep Swiggying. 🙂",vijay kumar
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Burgerking is a best 👌 👍,Hey there! It's a bliss to see that our service brought a smile to your face. We'll endeavor to keep it up. Keep Swiggying. 🙂,Aarti Mallick
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Exceptional,"Hey, thanks for the rating! This motivates us to keep serving you better with every order.",Aegle Shiva
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Very nice service,"Hi there, thank you for your patronage and the perfect rating. We will strive to provide consistent seamless ordering experiences. Keep Swiggying!",Kavita Biloniya
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Very testi food in burger King 🍔👑,"Hey, thanks for the rating! This motivates us to keep serving you better with every order.",Mansi Kashyap
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,👌👌👌👌👌,"Hey, we are glad to have patrons like you and will strive towards providing better services to keep such reviews coming our way. Keep ordering.",Puja Dara
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Excellent and good.,"Hey there, nothing delights us more than hearing this. We are happy that you had a great experience. Keep Swiggying. 🙂",Jagesh Kamath
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,"Sugar High is the best in Ranchi,and I am vvv appreciate for taste, aroma, texture and vvv good flavour.❤️❤️","Hey, thank you for your feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",Harashchandra Swain
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Customer friendly app,We are happy to hear such positive feedback. 😊,Elizabeth Joseph
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,good,Hey there! Such positive reviews motivate us to strive hard to provide you a much better experience. Happy ordering. 🙂,Raju KNR
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Nice 👍,"Hey, thanks for the rating! This motivates us to keep serving you better with every order.",Sasimathangi R
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Good,"Hey, thanks for the rating! This motivates us to keep serving you better with every order.",Nargis Khan
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Outstanding,"Hi there, thank you for your patronage and the perfect rating. We will strive to provide consistent seamless ordering experiences. Keep Swiggying!",Amit Srivastava
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Excellent app on food delivery,Hey there! It's a bliss to see that our service brought a smile to your face. We'll endeavor to keep it up. Keep Swiggying. 🙂,Vincent Fernandes
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Good delivery,Hey there! Such positive reviews motivate us to strive hard to provide you a much better experience. Happy ordering. 🙂,Rajeev Yadav
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,👍👍👍,Hey there! It's a bliss to see that our service brought a smile to your face. We'll endeavor to keep it up. Keep Swiggying. 🙂,Virajanand Kampili
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,you give me offers and discount,"Hey, thank you for your kind review. We hope to keep on giving you a consistent service every time. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",Rishi Rajput
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,The resturant and their food in this app is so delicious and tasty . I love this app,"Hey there, thank you for the perfect ratings. We appreciate your efforts in contributing to our improvements.",Lekshmi Vinod
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Food,"Hey, thank you for your kind review. We hope to keep on giving you a consistent service every time. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",Guru Gill
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Awesome,"Hey there, nothing delights us more than hearing this. We are happy that you had a great experience. Keep Swiggying. 🙂",sri Mirra
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Good oder,Hey there! It's a bliss to see that our service brought a smile to your face. We'll endeavor to keep it up. Keep Swiggying. 🙂,Dhruv Khajuria
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Osm app for delivery,"Hey, thank you for the ratings. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",Raj Sharma
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,I get no offers like trynew,"Hi there, thank you and we value your feedback. Do let us know more about your experience by dropping an email at swiggysocial@swiggy.in from your registered email address & we'll surely work towards improving the services.",Simi Saiju
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Good,"Hey there, thank you for the perfect ratings. We appreciate your efforts in contributing to our improvements.",Hema Hema
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,👍 Good,"Hey, we are glad to have patrons like you and will strive towards providing better services to keep such reviews coming our way. Keep ordering.",Thejavizo Kehie
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Edit: I got this reviewed by swiggy social team. Didn't want to rate down because of one experience while the app still very reliable and user friendly. My last order experience was terrible from both support and delivery agent who was non responsive. Late + picked up wrong order + no compensation and cancelled after 3 hrs of waiting at 2 am. Leaving swiggy.,"Hi there, thank you and we value your feedback. Do let us know more about your experience by dropping an email at swiggysocial@swiggy.in from your registered email address & we'll surely work towards improving the services.",aqil bary
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Good,"Hey, we are glad to have patrons like you and will strive towards providing better services to keep such reviews coming our way. Keep ordering.",Krishna Mohan
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,good service,Hey there! It's a bliss to see that our service brought a smile to your face. We'll endeavor to keep it up. Keep Swiggying. 🙂,Fathima Manica
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Last delivery I had a delay problem The order was from the nearest restaurant on 80ft road and a person from jayprakash naraysn park was given the task of delivery who delivered the food after more than an hour. Due to this and no fault of delivery man I had to give 2 stars and since then the app is not functioning. I am also forced to delete the app. This is for your information please,"Hi there, thank you and we value your feedback. Do let us know more about your experience by dropping an email at swiggysocial@swiggy.in from your registered email address & we'll surely work towards improving the services.",kr vasanthi
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,My most favourite app❤️‍🔥,Hey there! It's a bliss to see that our service brought a smile to your face. We'll endeavor to keep it up. Keep Swiggying. 🙂,Vysakh Nair
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Op,"Hey, thank you for your feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",Ayan Khan786
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Real thise app is coooooooól! $$$,"Hey there, appreciate you for rating us 5-star and giving us your honest feedback. Do elaborate your concern along with the necessary details by writing an email at swiggysocial@swiggy.in from your registered email ID, we'll look into it.",Vaishali lohar Vaishali lohar
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Excellent.,"Hey, thanks for the rating! This motivates us to keep serving you better with every order.",Aanshi Singh
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Superb tast3,Hey there! Such positive reviews motivate us to strive hard to provide you a much better experience. Happy ordering. 🙂,MATHS & PHYSICS
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,good,"Hi there, thank you for your patronage and the perfect rating. We will strive to provide consistent seamless ordering experiences. Keep Swiggying!",Veena.B Veena
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Best food delivery app,"Hey there, we're pleased that you enjoyed your experience with Swiggy. We'll endeavor to keep it up. Keep ordering. 🙂",Ghansham Sharma
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,I am Foody and foody always like swiggy🥰,Hey there! Such positive reviews motivate us to strive hard to provide you a much better experience. Happy ordering. 🙂,Girish Rathod
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Great and delicious,"Hi there, thank you for your patronage and the perfect rating. We will strive to provide consistent seamless ordering experiences. Keep Swiggying!",Avinash prakash Singh
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,good,Hey there! Such positive reviews motivate us to strive hard to provide you a much better experience. Happy ordering. 🙂,azad ansari
